GROSS SQUARE FEET	 SALE PRICE 
"4,452"	"4,246,000"
"4,452"	"4,175,000"
"4,450"	"4,800,000"
"4,439"	"10,350,000"
"4,413"	"8,250,000"
"4,405"	"1,700,000"
"4,400"	"399,000"
"4,400"	"7,500,000"
"4,400"	"1,419,950"
"4,400"	0
"4,400"	"7,900,000"
"4,400"	"21,122,468"
"4,340"	"5,820,000"
"4,336"	"13,084,250"
"4,336"	"13,084,250"
"4,320"	"8,800,000"
"4,320"	"61,000,000"
"4,320"	"5,118,750"
"4,320"	"4,495,000"
"4,304"	0
"4,300"	"4,750,000"
"4,300"	"1,540,000"
"4,300"	0
"4,298"	0
"4,298"	"4,400,000"
"4,288"	0
"4,280"	"8,430,003"
"4,280"	"5,600,000"
"4,260"	"4,350,000"
"4,247"	"1,775,000"
"4,240"	"8,500,000"
"4,234"	"8,000,000"
"4,212"	"12,000,000"
"4,200"	"19,000,000"
"4,200"	0
"4,192"	"2,972,500"
"4,180"	0
"4,180"	"2,100,000"
"4,175"	"5,050,000"
"4,172"	"1,350,000"
"4,163"	"4,525,000"
"4,163"	10
"4,152"	"4,000,000"
"4,150"	"11,100,000"
"4,148"	0
"4,142"	0
"4,142"	0
"4,140"	"7,200,000"
"4,140"	0
"4,140"	0
"4,133"	"2,491,000"
"4,122"	"7,000,000"
"4,120"	0
"4,112"	"2,295,000"
"4,109"	0
"4,104"	"4,353,375"
"4,104"	"4,250,000"
"4,100"	0
"4,100"	"6,500,000"
"4,098"	"3,200,000"
"4,096"	"4,541,171"
"4,083"	"20,000,000"
"4,075"	"6,050,000"
"4,073"	"23,140,000"
"4,072"	"1,350,000"
"4,070"	"2,700,000"
"4,068"	0
"4,064"	0
"4,056"	"9,200,000"
"4,051"	0
"4,045"	"8,500,000"
"4,032"	"6,541,562"
"4,030"	"3,200,000"
"4,020"	"8,350,000"
"4,017"	"9,173,800"
"4,016"	0
"4,011"	0
"4,000"	0
"4,000"	0
"4,000"	"21,500,000"
"4,000"	0
"4,000"	"3,000,000"
"4,000"	"4,140,150"
"4,000"	10
"4,000"	0
"4,000"	"7,900,000"
"4,000"	0
"3,988"	"6,166,125"
"3,979"	"3,098,250"
"3,979"	"4,291,506"
"3,978"	"6,612,500"
"3,973"	10
"3,972"	0
"3,965"	"2,850,000"
"3,960"	"8,500,000"
"3,960"	"6,600,000"
"3,960"	0
"3,958"	"13,250,000"
"3,952"	"2,754,150"
"3,952"	0
"3,948"	"4,350,000"
"3,920"	"350,000"
"3,900"	0
"3,888"	"12,250,000"
"3,887"	0
"3,885"	"1,000,000"
"3,872"	"5,000,000"
"3,866"	"17,000,000"
"3,864"	"8,500,000"
"3,842"	"5,500,000"
"3,840"	0
"3,840"	"1,500,000"
"3,840"	"5,400,000"
"3,840"	"4,653,000"
"3,840"	"6,950,000"
"3,836"	0
"3,826"	"11,400,000"
"3,825"	"1,100,000"
"3,820"	"1,770,000"
"3,813"	"8,500,000"
"3,813"	"7,521,000"
"3,800"	"7,250,000"
"3,795"	4
"3,784"	0
"3,776"	"4,075,000"
"3,764"	0
"3,764"	0
"3,764"	10
"3,756"	0
"3,744"	0
"3,744"	"2,600,000"
"3,740"	0
"3,740"	"1,990,500"
"3,740"	0
"3,728"	0
"3,728"	0
"3,721"	0
"3,712"	0
"3,708"	"6,642,000"
"3,708"	0
"3,700"	4
"3,700"	4
"3,700"	4
"3,700"	"3,665,000"
"3,700"	0
"3,692"	0
"3,688"	0
"3,688"	"4,950,000"
"3,687"	0
"3,680"	0
"3,680"	"850,000"
"3,680"	0
"3,678"	0
"3,672"	"9,750,000"
"3,668"	0
"3,668"	0
"3,651"	"1,300,000"
"3,636"	"8,200,000"
"3,629"	0
"3,620"	"2,250,000"
"3,619"	0
"3,610"	"4,100,000"
"3,600"	0
"3,600"	0
"3,600"	"1,525,000"
"3,600"	0
"3,600"	"4,750,000"
"3,600"	0
"3,592"	10
"3,587"	0
"3,580"	"18,000,000"
"3,580"	0
"3,579"	"9,500,000"
"3,564"	"2,500,000"
"3,564"	"1,320,000"
"3,564"	0
"3,564"	0
"3,564"	"8,200,000"
"3,554"	"2,400,000"
"3,531"	"3,850,000"
"3,520"	"7,450,000"
"3,520"	"8,500,000"
"3,520"	0
"3,520"	"6,900,000"
"3,502"	"4,102,000"
"3,500"	"3,350,000"
"3,500"	"1,750,000"
"3,483"	"2,760,000"
"3,480"	"1,215,000"
"3,464"	"5,950,000"
"3,461"	0
"3,456"	0
"3,456"	0
"3,454"	"13,500,000"
"3,450"	"4,500,000"
"3,450"	"8,750,000"
"3,449"	"4,480,000"
"3,440"	"5,750,000"
"3,431"	0
"3,420"	"4,850,000"
"3,416"	"9,650,000"
"3,416"	"2,546,506"
"3,408"	"750,000"
"3,404"	0
"3,400"	"1,700,000"
"3,400"	0
"3,400"	0
"3,400"	"6,300,000"
"3,400"	"7,575,000"
"3,400"	"5,750,000"
"3,400"	0
"3,392"	"1,890,000"
"3,385"	0
"3,384"	"3,800,000"
"3,376"	"4,350,000"
"3,372"	"7,800,000"
"3,364"	"5,300,000"
"3,360"	"10,100,000"
"3,360"	"7,350,000"
"3,360"	"80,000"
"3,354"	"4,500,000"
"3,352"	"2,546,506"
"3,350"	"5,900,000"
"3,347"	"5,500,000"
"3,340"	"3,730,000"
"3,336"	"2,425,000"
"3,332"	"9,950,000"
"3,332"	0
"3,327"	"6,000,000"
"3,326"	10
"3,312"	0
"3,300"	"1,019,360"
"3,300"	"3,600,000"
"3,280"	"4,483,060"
"3,274"	"1,350,000"
"3,264"	"75,000"
"3,264"	"3,995,000"
"3,250"	0
"3,244"	"1,800,000"
"3,240"	0
"3,240"	"2,550,000"
"3,240"	"2,550,000"
"3,240"	"1,757,500"
"3,240"	"2,546,506"
"3,240"	"2,546,506"
"3,240"	0
"3,240"	"2,546,506"
"3,240"	0
"3,239"	"8,250,000"
"3,238"	"1,317,500"
"3,232"	0
"3,230"	"5,300,000"
"3,225"	"1,176,500"
"3,200"	0
"3,200"	"2,257,500"
"3,200"	"15,000"
"3,200"	"2,499,000"
"3,200"	"4,600,000"
"3,198"	0
"3,196"	0
"3,168"	"3,950,000"
"3,160"	"6,500,000"
"3,155"	0
"3,141"	"1,200,000"
"3,135"	0
"3,135"	"6,900,000"
"3,128"	"1,200,000"
"3,125"	"4,150,000"
"3,120"	0
"3,096"	"1,400,000"
"3,080"	"4,200,000"
"3,080"	"3,300,000"
"3,078"	0
"3,072"	0
"3,072"	0
"3,068"	0
"3,068"	"2,000,000"
"3,068"	"5,975,000"
"3,060"	0
"3,060"	"2,850,000"
"3,057"	0
"3,053"	"1,850,000"
"3,048"	"3,425,000"
"3,040"	0
"3,040"	"2,800,000"
"3,017"	"4,556,900"
"3,000"	0
"3,000"	"1,176,500"
"3,000"	"1,073,162"
"3,000"	"5,550,000"
"3,000"	"995,000"
"2,992"	"2,500,000"
"2,982"	0
"2,962"	"7,000,000"
"2,952"	"1,274,000"
"2,947"	0
"2,925"	0
"2,904"	0
"2,904"	"1,200,000"
"2,896"	"7,500,000"
"2,889"	"2,475,000"
"2,887"	"454,000"
"2,880"	"8,900,000"
"2,880"	"1,850,000"
"2,880"	"2,146,222"
"2,880"	0
"2,880"	"4,400,000"
"2,880"	0
"2,876"	"2,400,000"
"2,872"	"998,000"
"2,860"	0
"2,842"	"1,176,277"
"2,808"	"3,525,000"
"2,805"	0
"2,799"	"1,100,000"
"2,790"	"2,999,999"
"2,790"	"1,400,000"
"2,777"	0
"2,776"	0
"2,763"	"2,000,000"
"2,760"	0
"2,760"	0
"2,760"	0
"2,751"	"575,348"
"2,750"	0
"2,745"	0
"2,736"	"6,400,000"
"2,726"	0
"2,721"	10
"2,700"	"1,955,000"
"2,700"	0
"2,700"	"4,999,999"
"2,688"	"10,500,000"
"2,681"	"14,800,000"
"2,666"	"3,975,000"
"2,660"	"1,050,000"
"2,646"	10
"2,646"	0
"2,643"	"6,750,000"
"2,618"	10
"2,607"	"5,300,000"
"2,600"	0
"2,592"	0
"2,592"	"997,500"
"2,588"	0
"2,584"	"6,300,000"
"2,580"	"1,120,000"
"2,577"	"11,000,000"
"2,560"	"3,725,000"
"2,550"	0
"2,548"	"2,250,000"
"2,544"	"2,800,000"
"2,541"	"1,275,000"
"2,536"	0
"2,535"	0
"2,521"	"926,777"
"2,520"	"7,200,000"
"2,505"	"1,110,000"
"2,500"	"3,165,000"
"2,500"	"12,750,000"
"2,500"	"5,550,000"
"2,500"	"2,550,000"
"2,499"	0
"2,499"	"1,200,000"
"2,498"	0
"2,493"	"3,482,500"
"2,490"	"6,332,219"
"2,481"	1
"2,472"	"1,100,000"
"2,448"	0
"2,448"	"4,740,000"
"2,445"	"800,000"
"2,432"	"5,800,000"
"2,430"	"2,546,506"
"2,430"	0
"2,426"	0
"2,418"	"2,250,000"
"2,418"	0
"2,406"	"1,975,000"
"2,400"	"11,400,000"
"2,400"	"3,325,000"
"2,395"	"16,700,000"
"2,389"	0
"2,380"	"2,650,000"
"2,358"	0
"2,352"	"750,000"
"2,340"	0
"2,295"	0
"2,268"	"4,500,000"
"2,250"	"2,400,000"
"2,250"	"957,500"
"2,247"	"4,978,192"
"2,240"	"1,222,000"
"2,239"	"6,000,000"
"2,214"	"7,000,000"
"2,205"	"4,400,000"
"2,160"	"1,274,000"
"2,115"	0
"2,103"	"70,000"
"2,100"	"25,000,000"
"2,100"	"5,950,000"
"2,100"	"3,000,000"
"2,084"	"2,165,000"
"2,064"	"9,950,000"
"2,060"	"1,400,000"
"2,040"	"8,525,000"
"2,040"	"8,625,000"
"2,030"	"6,500,000"
"2,003"	"832,500"
"2,000"	"4,450,000"
"2,000"	"4,450,000"
"1,960"	"675,000"
"1,950"	0
"1,944"	0
"1,920"	"5,160,000"
"1,920"	"1,900,000"
"1,916"	"2,425,000"
